name_age,time,overall_place,sex_place,sex_div_place,div,net_time,city_state_country,state_country,country,city,city_country,ag_time,bq,date,marathon,midd,year
Christopher Bendtsen (M),2:34:39,84,84,NA,NA,NA,NA,NA,NA,New York,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
David Fuentes (M),2:34:46,85,85,NA,NA,NA,NA,NA,NA,Austin,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Christopher Lemon (M),2:35:05,86,86,NA,NA,NA,NA,NA,NA,Springfield,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Everett Hackett (M),2:35:08,87,87,NA,NA,NA,NA,NA,NA,West Hartford,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Mike Popejoy (M),2:35:44,88,88,NA,NA,NA,NA,NA,NA,Flagstaff,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Rory Tunningley (M),2:35:53,89,89,NA,NA,NA,NA,NA,NA,Austin,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Luke Humphrey (M),2:36:12,90,90,NA,NA,NA,NA,NA,NA,Rochester Hills,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Thomas Dialynas (M),2:36:24,91,91,NA,NA,NA,NA,NA,NA,Phoenix,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Tim Chichester (M),2:36:46,92,92,NA,NA,NA,NA,NA,NA,Mount Morris,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Kyle Dawson (M),2:37:36,93,93,NA,NA,NA,NA,NA,NA,Coatesville,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Nick Holmes (M),2:37:36,94,94,NA,NA,NA,NA,NA,NA,Elmhurst,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Jordan Kyle (M),2:38:20,95,95,NA,NA,NA,NA,NA,NA,Indianapolis,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Dustin Betz (M),2:42:54,96,96,NA,NA,NA,NA,NA,NA,Schnellville,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Ahmed Osman (M),2:44:00,97,97,NA,NA,NA,NA,NA,NA,Flagstaff,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Jeff Weiss (M),2:48:17,98,98,NA,NA,NA,NA,NA,NA,Ravenswood,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Rex Shields (M),2:49:02,99,99,NA,NA,NA,NA,NA,NA,Springville,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Josh Eberly (M),2:50:15,100,100,NA,NA,NA,NA,NA,NA,Gunnison,NA,NA,BQ,2016-02-13,Men's Olympic Trials Marathon,5302160213,2016
Boniface Kongin (M29),2:11:56,1,NA,1 / 1,M25-29,NA,"Duluth, MN, USA",NA,NA,NA,NA,2:11:56,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Andrew Colley (M28),2:12:13,2,NA,2 / 2,M25-29,NA,"Blowing Rock, NC, USA",NA,NA,NA,NA,2:12:13,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Harbert Okuti (M33),2:13:01,3,NA,3 / 1,M30-34,NA,"Sleepy Hollow, NY, USA",NA,NA,NA,NA,2:13:01,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Joseph Whelan (M28),2:13:39,4,NA,4 / 3,M25-29,NA,"Spring Branch, TX, USA",NA,NA,NA,NA,2:13:39,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Craig Hunt (M28),2:15:26,5,NA,5 / 4,M25-29,NA,"Flagstaff, AZ, USA",NA,NA,NA,NA,2:15:26,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Nick Caprario (M30),2:16:01,6,NA,6 / 2,M30-34,NA,"Kcmo, MO, USA",NA,NA,NA,NA,2:16:01,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Rory Tunningley (M29),2:16:25,7,NA,7 / 5,M25-29,NA,"Lockhart, TX, USA",NA,NA,NA,NA,2:16:25,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Chris Bendtsen (M27),2:17:03,8,NA,8 / 6,M25-29,NA,"New York, NY, USA",NA,NA,NA,NA,2:17:03,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Christopher Kipyego (M45),2:17:03,9,NA,9 / 1,M45-49,NA,Zacatecas,NA,NA,NA,NA,2:08:15,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Austin Roth (M28),2:17:04,10,NA,10 / 7,M25-29,NA,London,NA,NA,NA,NA,2:17:04,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Alexander Taylor (M39),2:17:06,11,NA,11 / 1,M35-39,NA,"Lincoln, MA, USA",NA,NA,NA,NA,2:14:54,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Evan Landes (M26),2:17:08,12,NA,12 / 8,M25-29,NA,"Mulvane, KS, USA",NA,NA,NA,NA,2:17:08,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Jeffrey Seelaus (M25),2:17:08,13,NA,13 / 9,M25-29,NA,"Brighton, MA, USA",NA,NA,NA,NA,2:17:08,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Mitchell Klingler (M27),2:17:18,14,NA,14 / 10,M25-29,NA,"Coldwater, MI, USA",NA,NA,NA,NA,2:17:18,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Eric Ashe (M30),2:17:24,15,NA,15 / 3,M30-34,NA,"Boston, MA, USA",NA,NA,NA,NA,2:17:24,BQ,2019-06-22,Grandma's Marathon,42190622,2019
James Wilson (M27),2:17:27,16,NA,16 / 11,M25-29,NA,"Lawrence, KS, USA",NA,NA,NA,NA,2:17:27,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Evan Gaynor (M31),2:17:29,17,NA,17 / 4,M30-34,NA,"Perrysburg, OH, USA",NA,NA,NA,NA,2:17:29,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Dan Harper (M29),2:17:30,18,NA,18 / 12,M25-29,NA,"Naperville, IL, USA",NA,NA,NA,NA,2:17:30,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Jason Lynch (M28),2:17:31,19,NA,19 / 13,M25-29,NA,"Kaysville, UT, USA",NA,NA,NA,NA,2:17:31,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Mark Leininger (M28),2:18:00,20,NA,20 / 14,M25-29,NA,"Colts Neck, NJ, USA",NA,NA,NA,NA,2:18:00,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Sam Morse (M35),2:18:06,21,NA,21 / 2,M35-39,NA,"Camden, NY, USA",NA,NA,NA,NA,2:18:06,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Will Norris (M24),2:18:08,22,NA,22 / 1,M20-24,NA,"Boulder, CO, USA",NA,NA,NA,NA,2:18:08,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Nate Guthals (M28),2:18:38,23,NA,23 / 15,M25-29,NA,"Olathe, KS, USA",NA,NA,NA,NA,2:18:38,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Stan Linton (M25),2:18:43,24,NA,24 / 16,M25-29,NA,"West Des Moines, IA, USA",NA,NA,NA,NA,2:18:43,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Quinlan Moll (M23),2:18:50,25,NA,25 / 2,M20-24,NA,"Kcmo, MO, USA",NA,NA,NA,NA,2:18:50,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Pardon Ndhlovu (M31),2:18:57,26,NA,26 / 5,M30-34,NA,"Vilas, NC, USA",NA,NA,NA,NA,2:18:57,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Andrew Lesser (M29),2:19:12,27,NA,27 / 17,M25-29,NA,"Eaton, CO, USA",NA,NA,NA,NA,2:19:12,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Argeo Cruz (M27),2:19:18,28,NA,28 / 18,M25-29,NA,"Immokalee, FL, USA",NA,NA,NA,NA,2:19:18,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Joe Stilin (M29),2:19:20,29,NA,29 / 19,M25-29,NA,"Blowing Rock, NC, USA",NA,NA,NA,NA,2:19:20,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Alexander Diltz (M26),2:19:26,30,NA,30 / 20,M25-29,NA,"Longmont, CO, USA",NA,NA,NA,NA,2:19:26,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Jason Ayr (M31),2:19:35,31,NA,31 / 6,M30-34,NA,"Westfield, MA, USA",NA,NA,NA,NA,2:19:35,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Kris Mugrage (M25),2:20:09,32,NA,32 / 21,M25-29,NA,"Alamosa, CO, USA",NA,NA,NA,NA,2:20:09,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Trevor Zimak (M35),2:20:12,33,NA,33 / 3,M35-39,NA,"Thunder Bay, ON, Canada",NA,NA,NA,NA,2:20:12,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Matt Hensley (M31),2:20:27,34,NA,34 / 7,M30-34,NA,"Superior, CO, USA",NA,NA,NA,NA,2:20:27,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Willie Milam (M27),2:20:35,35,NA,35 / 22,M25-29,NA,"Boulder, CO, USA",NA,NA,NA,NA,2:20:35,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Ryan Smith (M24),2:21:07,36,NA,36 / 3,M20-24,NA,"Farmington, ME, USA",NA,NA,NA,NA,2:21:07,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Nathan Peters (M29),2:21:28,37,NA,37 / 23,M25-29,NA,"Salt Lake City, UT, USA",NA,NA,NA,NA,2:21:28,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Louis Serafini (M27),2:21:34,38,NA,38 / 24,M25-29,NA,"Brighton, MA, USA",NA,NA,NA,NA,2:21:34,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Jesse Davis (M37),2:21:54,39,NA,39 / 4,M35-39,NA,"Indianapolis, IN, USA",NA,NA,NA,NA,2:21:19,BQ,2019-06-22,Grandma's Marathon,42190622,2019
David Marley (M32),2:21:56,40,NA,40 / 8,M30-34,NA,"Columbus, GA, USA",NA,NA,NA,NA,2:21:56,BQ,2019-06-22,Grandma's Marathon,42190622,2019
