"name_age","match_name","full_name","marathon","year","date","time","time_minutes"
"Malcolm Richards (M)","MALCOLM RICHARDS","MALCOLM RICHARDS","Chicago Marathon",2015,"2015-10-11","2:16:41",136.683333333333
"Scott Wietecha (M)","SCOTT WIETECHA","SCOTT WIETECHA","Chicago Marathon",2015,"2015-10-11","2:17:02",137.033333333333
"Rob Watson (M)","ROB WATSON","ROB WATSON","Chicago Marathon",2015,"2015-10-11","2:17:21",137.35
"Tony Migliozzi (M)","TONY MIGLIOZZI","TONY MIGLIOZZI","Chicago Marathon",2015,"2015-10-11","2:17:44",137.733333333333
"Chris Lemon (M)","CHRIS LEMON","CHRIS LEMON","Chicago Marathon",2015,"2015-10-11","2:18:06",138.1
"Zach Ripley (M)","ZACH RIPLEY","ZACH RIPLEY","Chicago Marathon",2015,"2015-10-11","2:18:26",138.433333333333
"Scott Macpherson (M)","SCOTT MACPHERSON","SCOTT MACPHERSON","Chicago Marathon",2015,"2015-10-11","2:18:34",138.566666666667
"Ethan Shaw (M)","ETHAN SHAW","ETHAN SHAW","Chicago Marathon",2015,"2015-10-11","2:19:33",139.55
"Patrick Geoghegan (M)","PATRICK GEOGHEGAN","PATRICK GEOGHEGAN","Chicago Marathon",2015,"2015-10-11","2:19:38",139.633333333333
"Satoshi Yoshii (M)","SATOSHI YOSHII","SATOSHI YOSHII","Chicago Marathon",2015,"2015-10-11","2:20:33",140.55
"Shogo Kanezane (M)","SHOGO KANEZANE","SHOGO KANEZANE","Chicago Marathon",2015,"2015-10-11","2:20:40",140.666666666667
"Adam Bohach (M)","ADAM BOHACH","ADAM BOHACH","Chicago Marathon",2015,"2015-10-11","2:20:58",140.966666666667
"Cesar Lizano (M)","CESAR LIZANO","CESAR LIZANO","Chicago Marathon",2015,"2015-10-11","2:21:09",141.15
"Kevin Havel (M)","KEVIN HAVEL","KEVIN HAVEL","Chicago Marathon",2015,"2015-10-11","2:21:57",141.95
"Donovan Fellows (M)","DONOVAN FELLOWS","DONOVAN FELLOWS","Chicago Marathon",2015,"2015-10-11","2:22:05",142.083333333333
"Tyler Jermann (M)","TYLER JERMANN","TYLER JERMANN","Chicago Marathon",2015,"2015-10-11","2:22:26",142.433333333333
"Andy Williams (M)","ANDY WILLIAMS","ANDY WILLIAMS","Chicago Marathon",2015,"2015-10-11","2:22:54",142.9
"Brandon Mull (M)","BRANDON MULL","BRANDON MULL","Chicago Marathon",2015,"2015-10-11","2:22:54",142.9
"Mohamed Hrezi (M)","MOHAMED HREZI","MOHAMED HREZI","Chicago Marathon",2015,"2015-10-11","2:23:14",143.233333333333
"Ryan McGuire (M)","RYAN MCGUIRE","RYAN MCGUIRE","Chicago Marathon",2015,"2015-10-11","2:23:18",143.3
"Ramiro Guillen (M)","RAMIRO GUILLEN","RAMIRO GUILLEN","Chicago Marathon",2015,"2015-10-11","2:23:33",143.55
"Christopher Pannone (M)","CHRISTOPHER PANNONE","CHRISTOPHER PANNONE","Chicago Marathon",2015,"2015-10-11","2:23:38",143.633333333333
"Matt Barrett (M)","MATT BARRETT","MATT BARRETT","Chicago Marathon",2015,"2015-10-11","2:23:43",143.716666666667
"Nick Edinger (M)","NICK EDINGER","NICK EDINGER","Chicago Marathon",2015,"2015-10-11","2:28:20",148.333333333333
"Abel Kirui (M34)","ABEL KIRUI","ABEL KIRUI","Chicago Marathon",2016,"2016-10-09","2:11:23",131.383333333333
"Dickson Chumba (M29)","DICKSON CHUMBA","DICKSON CHUMBA","Chicago Marathon",2016,"2016-10-09","2:11:26",131.433333333333
"Gideon Kipketer (M23)","GIDEON KIPKETER","GIDEON KIPKETER","Chicago Marathon",2016,"2016-10-09","2:12:20",132.333333333333
"Paul Lonyangata (M24)","PAUL LONYANGATA","PAUL LONYANGATA","Chicago Marathon",2016,"2016-10-09","2:13:17",133.283333333333
"Stephen Sambu (M28)","STEPHEN SAMBU","STEPHEN SAMBU","Chicago Marathon",2016,"2016-10-09","2:13:35",133.583333333333
"Abayneh Ayele (M28)","ABAYNEH AYELE","ABAYNEH AYELE","Chicago Marathon",2016,"2016-10-09","2:13:52",133.866666666667
"Takuya Fukatsu (M28)","TAKUYA FUKATSU","TAKUYA FUKATSU","Chicago Marathon",2016,"2016-10-09","2:13:53",133.883333333333
"Diego Estrada (M26)","DIEGO ESTRADA","DIEGO ESTRADA","Chicago Marathon",2016,"2016-10-09","2:13:56",133.933333333333
"Koji Gokaya (M28)","KOJI GOKAYA","KOJI GOKAYA","Chicago Marathon",2016,"2016-10-09","2:14:34",134.566666666667
"Elkanah Kibet (M30)","ELKANAH KIBET","ELKANAH KIBET","Chicago Marathon",2016,"2016-10-09","2:16:37",136.616666666667
"Tim Young (M29)","TIMOTHY YOUNG","TIM YOUNG","Chicago Marathon",2016,"2016-10-09","2:16:43",136.716666666667
"Andrew Epperson (M25)","ANDREW EPPERSON","ANDREW EPPERSON","Chicago Marathon",2016,"2016-10-09","2:16:54",136.9
"Scott Overall (M33)","SCOTT OVERALL","SCOTT OVERALL","Chicago Marathon",2016,"2016-10-09","2:18:21",138.35
"Ryoichi Matsuo (M25)","RYOICHI MATSUO","RYOICHI MATSUO","Chicago Marathon",2016,"2016-10-09","2:18:50",138.833333333333
"Tony Migliozzi (M27)","TONY MIGLIOZZI","TONY MIGLIOZZI","Chicago Marathon",2016,"2016-10-09","2:19:39",139.65
"Tom Anderson (M26)","TOM ANDERSON","TOM ANDERSON","Chicago Marathon",2016,"2016-10-09","2:19:52",139.866666666667
"Daniel Wallis (M28)","DANIEL WALLIS","DANIEL WALLIS","Chicago Marathon",2016,"2016-10-09","2:19:56",139.933333333333
"Micah Kogo (M30)","MICAH KOGO","MICAH KOGO","Chicago Marathon",2016,"2016-10-09","2:20:03",140.05
"Luke Puskedra (M26)","LUKE PUSKEDRA","LUKE PUSKEDRA","Chicago Marathon",2016,"2016-10-09","2:20:18",140.3
"Jonathan Mott (M29)","JONATHAN MOTT","JONATHAN MOTT","Chicago Marathon",2016,"2016-10-09","2:20:22",140.366666666667
"David Nilsson (M29)","DAVID NILSSON","DAVID NILSSON","Chicago Marathon",2016,"2016-10-09","2:20:25",140.416666666667
"Meng-Tsung Chu (M34)","MENG-TSUNG CHU","MENG-TSUNG CHU","Chicago Marathon",2016,"2016-10-09","2:21:02",141.033333333333
"Kiya Dandena (M27)","KIYA DANDENA","KIYA DANDENA","Chicago Marathon",2016,"2016-10-09","2:22:14",142.233333333333
"Mizael Carrera (M25)","MIZAEL CARRERA","MIZAEL CARRERA","Chicago Marathon",2016,"2016-10-09","2:22:25",142.416666666667
"Kazuya Ishida (M32)","KAZUYA ISHIDA","KAZUYA ISHIDA","Chicago Marathon",2016,"2016-10-09","2:23:02",143.033333333333
"Connor Mcmillan (M20)","CONNOR MCMILLAN","CONNOR MCMILLAN","Chicago Marathon",2016,"2016-10-09","2:23:28",143.466666666667
"Travis Morrison (M24)","TRAVIS MORRISON","TRAVIS MORRISON","Chicago Marathon",2016,"2016-10-09","2:23:30",143.5
"Dustin Emerick (M27)","DUSTIN EMERICK","DUSTIN EMERICK","Chicago Marathon",2016,"2016-10-09","2:23:58",143.966666666667
"Andy Williams (M29)","ANDY WILLIAMS","ANDY WILLIAMS","Chicago Marathon",2016,"2016-10-09","2:24:35",144.583333333333
"Michael Wardian (M42)","MICHAEL WARDIAN","MICHAEL WARDIAN","Chicago Marathon",2016,"2016-10-09","2:32:02",152.033333333333
"Jose Madera (M25)","JOSE MADERA","JOSE MADERA","Chicago Marathon",2016,"2016-10-09","2:35:42",155.7
"Galen Rupp (M31)","GALEN RUPP","GALEN RUPP","Chicago Marathon",2017,"2017-10-08","2:09:20",129.333333333333
"Abel Kirui (M35)","ABEL KIRUI","ABEL KIRUI","Chicago Marathon",2017,"2017-10-08","2:09:48",129.8
"Bernard Kipyego (M31)","BERNARD KIPYEGO","BERNARD KIPYEGO","Chicago Marathon",2017,"2017-10-08","2:10:23",130.383333333333
"Stephen Sambu (M29)","STEPHEN SAMBU","STEPHEN SAMBU","Chicago Marathon",2017,"2017-10-08","2:11:07",131.116666666667
"Aaron Braun (M30)","AARON BRAUN","AARON BRAUN","Chicago Marathon",2017,"2017-10-08","2:13:41",133.683333333333
"Diego Estrada (M27)","DIEGO ESTRADA","DIEGO ESTRADA","Chicago Marathon",2017,"2017-10-08","2:15:19",135.316666666667
"Ryoichi Matsuo (M26)","RYOICHI MATSUO","RYOICHI MATSUO","Chicago Marathon",2017,"2017-10-08","2:15:50",135.833333333333
"Luke Puskedra (M27)","LUKE PUSKEDRA","LUKE PUSKEDRA","Chicago Marathon",2017,"2017-10-08","2:17:53",137.883333333333
"Alan Peterson (M25)","ALAN PETERSON","ALAN PETERSON","Chicago Marathon",2017,"2017-10-08","2:18:47",138.783333333333
"Kevin Havel (M27)","KEVIN HAVEL","KEVIN HAVEL","Chicago Marathon",2017,"2017-10-08","2:20:18",140.3
"Travis Morrison (M25)","TRAVIS MORRISON","TRAVIS MORRISON","Chicago Marathon",2017,"2017-10-08","2:23:17",143.283333333333
"Chris Lemon (M28)","CHRIS LEMON","CHRIS LEMON","Chicago Marathon",2017,"2017-10-08","2:24:44",144.733333333333
"Rupp Galen (M)","GALEN RUPP","GALEN RUPP","Chicago Marathon",2018,"2018-10-07","2:06:21",126.35
"Kirui Abel (M)","ABEL KIRUI","ABEL KIRUI","Chicago Marathon",2018,"2018-10-07","2:07:52",127.866666666667
"Kibet Elkanah (M)","ELKANAH KIBET","ELKANAH KIBET","Chicago Marathon",2018,"2018-10-07","2:12:35",132.583333333333
"Braun Aaron (M)","AARON BRAUN","AARON BRAUN","Chicago Marathon",2018,"2018-10-07","2:13:16",133.266666666667
"Kipyego Bernard (M)","BERNARD KIPYEGO","BERNARD KIPYEGO","Chicago Marathon",2018,"2018-10-07","2:16:12",136.2
"Kawauchi Yuki (M)","YUKI KAWAUCHI","YUKI KAWAUCHI","Chicago Marathon",2018,"2018-10-07","2:16:26",136.433333333333
"Epperson Andrew (M)","ANDREW EPPERSON","ANDREW EPPERSON","Chicago Marathon",2018,"2018-10-07","2:17:01",137.016666666667
"Peterson Alan (M)","ALAN PETERSON","ALAN PETERSON","Chicago Marathon",2018,"2018-10-07","2:17:15",137.25
"Ndhlovu Pardon (M)","PARDON NDHLOVU","PARDON NDHLOVU","Chicago Marathon",2018,"2018-10-07","2:18:49",138.816666666667
"Dandena Kiya (M)","KIYA DANDENA","KIYA DANDENA","Chicago Marathon",2018,"2018-10-07","2:20:58",140.966666666667
"Salukombo Makorobondo (M)","MAKOROBONDO SALUKOMBO","MAKOROBONDO SALUKOMBO","Chicago Marathon",2018,"2018-10-07","2:23:07",143.116666666667
"Bohach Adam (M)","ADAM BOHACH","ADAM BOHACH","Chicago Marathon",2018,"2018-10-07","2:23:56",143.933333333333
"Havel Kevin (M)","KEVIN HAVEL","KEVIN HAVEL","Chicago Marathon",2018,"2018-10-07","2:24:40",144.666666666667
"Rizzo Patrick (M)","PATRICK RIZZO","PATRICK RIZZO","Chicago Marathon",2018,"2018-10-07","2:26:29",146.483333333333
"Dickson Chumba (M)","DICKSON CHUMBA","DICKSON CHUMBA","Chicago Marathon",2019,"2019-10-13","2:09:11",129.183333333333
"Jacob Riley (M)","JACOB RILEY","JACOB RILEY","Chicago Marathon",2019,"2019-10-13","2:10:36",130.6
"Scott Smith (M)","SCOTT SMITH","SCOTT SMITH","Chicago Marathon",2019,"2019-10-13","2:11:14",131.233333333333
"Brendan Gregg (M)","BRENDAN GREGG","BRENDAN GREGG","Chicago Marathon",2019,"2019-10-13","2:11:38",131.633333333333
"Diego Estrada (M)","DIEGO ESTRADA","DIEGO ESTRADA","Chicago Marathon",2019,"2019-10-13","2:11:54",131.9
"Alan Peterson (M)","ALAN PETERSON","ALAN PETERSON","Chicago Marathon",2019,"2019-10-13","2:14:56",134.933333333333
"Kevin Havel (M)","KEVIN HAVEL","KEVIN HAVEL","Chicago Marathon",2019,"2019-10-13","2:15:35",135.583333333333
"Michael Eaton (M)","MICHAEL EATON","MICHAEL EATON","Chicago Marathon",2019,"2019-10-13","2:19:58",139.966666666667
"Ramiro Guillen (M)","RAMIRO GUILLEN","RAMIRO GUILLEN","Chicago Marathon",2019,"2019-10-13","2:22:00",142
"Zachary Ripley (M)","ZACH RIPLEY","ZACHARY RIPLEY","Chicago Marathon",2019,"2019-10-13","2:22:09",142.15
"Meng-Tsung Chu (M)","MENG-TSUNG CHU","MENG-TSUNG CHU","Chicago Marathon",2019,"2019-10-13","2:24:41",144.683333333333
"Julius Koskei (M33)","JULIUS KOSKEI","JULIUS KOSKEI","Columbus Marathon",2015,"2015-10-18","2:16:46",136.766666666667
"Hillary Too (M36)","HILARY TOO","HILLARY TOO","Columbus Marathon",2015,"2015-10-18","2:19:03",139.05
"Jason Ordway (M27)","JASON ORDWAY","JASON ORDWAY","Columbus Marathon",2015,"2015-10-18","2:23:40",143.666666666667
"Fikadu Girma Teteri (M22)","FIKADU GIRMA TETERI","FIKADU GIRMA TETERI","Columbus Marathon",2016,"2016-10-16","2:14:39",134.65
"Chris Lemon (M27)","CHRIS LEMON","CHRIS LEMON","Columbus Marathon",2016,"2016-10-16","2:21:07",141.116666666667
"Meshack Kirwa (M41)","MESHACK KIRWA","MESHACK KIRWA","Columbus Marathon",2016,"2016-10-16","2:22:53",142.883333333333
"Peter Limo (M32)","PETER LIMO","PETER LIMO","Columbus Marathon",2016,"2016-10-16","2:23:26",143.433333333333
"Teklu Tefera Deneke (M38)","TEKLU DENEKE","TEKLU TEFERA DENEKE","Columbus Marathon",2017,"2017-10-15","2:20:52",140.866666666667
"Makorobondo Salukombo (M29)","MAKOROBONDO SALUKOMBO","MAKOROBONDO SALUKOMBO","Columbus Marathon",2017,"2017-10-15","2:28:13",148.216666666667
"Craig Leon (M)","CRAIG LEON","CRAIG LEON","Eugene Marathon",2015,"2015-05-10","2:21:33",141.55
"Carlos Trujillo (M)","JUAN CARLOS TRUJILLO","CARLOS TRUJILLO","Eugene Marathon",2016,"2016-05-01","2:18:54",138.9
"Teklu Deneke (M)","TEKLU DENEKE","TEKLU DENEKE","Eugene Marathon",2017,"2017-05-07","2:51:38",171.633333333333
"Teklu Deneke (M)","TEKLU DENEKE","TEKLU DENEKE","Eugene Marathon",2018,"2018-04-29","2:22:12",142.2
"Charlie Hurt (M)","CHARLIE HURT","CHARLIE HURT","Eugene Marathon",2019,"2019-04-28","2:27:11",147.183333333333
"Elisha Barno (M29)","ELISHA BARNO","ELISHA BARNO","Grandma's Marathon",2015,"2015-06-20","2:10:36",130.6
"Dominic Ondoro (M27)","DOMINIC ONDORO","DOMINIC ONDORO","Grandma's Marathon",2015,"2015-06-20","2:11:17",131.283333333333
"Jordan Chipangama (M26)","JORDAN CHIPANGAMA","JORDAN CHIPANGAMA","Grandma's Marathon",2015,"2015-06-20","2:11:35",131.583333333333
"Negash Duki (M25)","NEGASH ABEBE DUKI","NEGASH DUKI","Grandma's Marathon",2015,"2015-06-20","2:13:40",133.666666666667
"Birhanu Dare Kemal (M28)","BIRHANU DARE KEMAL","BIRHANU DARE KEMAL","Grandma's Marathon",2015,"2015-06-20","2:13:42",133.7
"Luke Puskedra (M25)","LUKE PUSKEDRA","LUKE PUSKEDRA","Grandma's Marathon",2015,"2015-06-20","2:15:27",135.45
"Noah Chepngabit (M31)","NOAH CHEPNGABIT","NOAH CHEPNGABIT","Grandma's Marathon",2015,"2015-06-20","2:15:27",135.45
"Brendan Martin (M26)","BRENDAN MARTIN","BRENDAN MARTIN","Grandma's Marathon",2015,"2015-06-20","2:15:30",135.5
"Abraham Chelanga (M31)","ABRAHAM CHELANGA","ABRAHAM CHELANGA","Grandma's Marathon",2015,"2015-06-20","2:15:35",135.583333333333
"Meshack Kirwa (M40)","MESHACK KIRWA","MESHACK KIRWA","Grandma's Marathon",2015,"2015-06-20","2:16:06",136.1
"Nicholas Hilton (M26)","NICHOLAS HILTON","NICHOLAS HILTON","Grandma's Marathon",2015,"2015-06-20","2:16:18",136.3
"Eliud Too (M27)","ELIUD TOO","ELIUD TOO","Grandma's Marathon",2015,"2015-06-20","2:16:29",136.483333333333
"Jesse Cherry (M28)","JESSE CHERRY","JESSE CHERRY","Grandma's Marathon",2015,"2015-06-20","2:16:34",136.566666666667
"Eric Loeffler (M38)","ERIC LOEFFLER","ERIC LOEFFLER","Grandma's Marathon",2015,"2015-06-20","2:16:48",136.8
"Eric Ashe (M26)","ERIC ASHE","ERIC ASHE","Grandma's Marathon",2015,"2015-06-20","2:17:06",137.1
"Pardon Ndhlovu (M27)","PARDON NDHLOVU","PARDON NDHLOVU","Grandma's Marathon",2015,"2015-06-20","2:17:15",137.25
"Brian Harvey (M28)","BRIAN HARVEY","BRIAN HARVEY","Grandma's Marathon",2015,"2015-06-20","2:17:17",137.283333333333
"Tyler Andrews (M25)","TYLER ANDREWS","TYLER ANDREWS","Grandma's Marathon",2015,"2015-06-20","2:17:19",137.316666666667
"Christopher Zablocki (M26)","CHRISTOPHER ZABLOCKI","CHRISTOPHER ZABLOCKI","Grandma's Marathon",2015,"2015-06-20","2:17:26",137.433333333333
"Ryan Cosens (M26)","RYAN COSENS","RYAN COSENS","Grandma's Marathon",2015,"2015-06-20","2:17:54",137.9
"Michael Eaton (M28)","MICHAEL EATON","MICHAEL EATON","Grandma's Marathon",2015,"2015-06-20","2:18:00",138
"Joe Moore (M31)","JOE MOORE","JOE MOORE","Grandma's Marathon",2015,"2015-06-20","2:18:21",138.35
"Brandon York (M30)","BRANDON YORK","BRANDON YORK","Grandma's Marathon",2015,"2015-06-20","2:18:52",138.866666666667
"Jesse Davis (M33)","JESSE DAVIS","JESSE DAVIS","Grandma's Marathon",2015,"2015-06-20","2:19:46",139.766666666667
"Richard Kessio (M41)","RICHARD KESSIO","RICHARD KESSIO","Grandma's Marathon",2015,"2015-06-20","2:19:56",139.933333333333
"Kieran O'Connor (M28)","KIERAN O'CONNOR","KIERAN O'CONNOR","Grandma's Marathon",2015,"2015-06-20","2:20:47",140.783333333333
"Curtis Begley (M28)","CURTIS BEGLEY","CURTIS BEGLEY","Grandma's Marathon",2015,"2015-06-20","2:21:02",141.033333333333
"Edward Tabut (M31)","EDWARD TABUT","EDWARD TABUT","Grandma's Marathon",2015,"2015-06-20","2:22:40",142.666666666667
"Matt Hensley (M27)","MATT HENSLEY","MATT HENSLEY","Grandma's Marathon",2015,"2015-06-20","2:23:46",143.766666666667
"Matt Duffy (M25)","MATT DUFFY","MATT DUFFY","Grandma's Marathon",2015,"2015-06-20","2:24:46",144.766666666667
"Matthew Fecht (M31)","MATTHEW FECHT","MATTHEW FECHT","Grandma's Marathon",2015,"2015-06-20","2:27:52",147.866666666667
"Madison Roeder (M26)","MADISON ROEDER","MADISON ROEDER","Grandma's Marathon",2015,"2015-06-20","2:30:35",150.583333333333
"Harbert Okuti (M29)","HARBERT OKUTI","HARBERT OKUTI","Grandma's Marathon",2015,"2015-06-20","2:42:10",162.166666666667
"Elisha Barno (M30)","ELISHA BARNO","ELISHA BARNO","Grandma's Marathon",2016,"2016-06-18","2:11:26",131.433333333333
"Weldon Kirui (M27)","WELDON KIRUI","WELDON KIRUI","Grandma's Marathon",2016,"2016-06-18","2:12:26",132.433333333333
"Kimutai Cheruiyot (M30)","KIMUTAI CHERUIYOT","KIMUTAI CHERUIYOT","Grandma's Marathon",2016,"2016-06-18","2:14:02",134.033333333333
"Jacob Chemtai (M29)","JACOB CHEMTAI","JACOB CHEMTAI","Grandma's Marathon",2016,"2016-06-18","2:16:59",136.983333333333
"Werkuneh Seyoum Aboye (M31)","WERKUNEH SEYOUM ABOYE","WERKUNEH SEYOUM ABOYE","Grandma's Marathon",2016,"2016-06-18","2:17:07",137.116666666667
"Nicholas Arciniaga (M32)","NICHOLAS ARCINIAGA","NICHOLAS ARCINIAGA","Grandma's Marathon",2016,"2016-06-18","2:17:12",137.2
"Birhanu Dare Kemal (M29)","BIRHANU DARE KEMAL","BIRHANU DARE KEMAL","Grandma's Marathon",2016,"2016-06-18","2:17:31",137.516666666667
"Harbert Okuti (M30)","HARBERT OKUTI","HARBERT OKUTI","Grandma's Marathon",2016,"2016-06-18","2:17:51",137.85
"Pedro Mora (M38)","PEDRO MORA","PEDRO MORA","Grandma's Marathon",2016,"2016-06-18","2:20:07",140.116666666667
"Tyler Jermann (M23)","TYLER JERMANN","TYLER JERMANN","Grandma's Marathon",2016,"2016-06-18","2:20:19",140.316666666667
"Mathew Kiplagat (M33)","MATHEW KIPLAGAT","MATHEW KIPLAGAT","Grandma's Marathon",2016,"2016-06-18","2:20:52",140.866666666667
"Polycarp Nyansikera (M24)","POLYCARP NYANSIKERA","POLYCARP NYANSIKERA","Grandma's Marathon",2016,"2016-06-18","2:21:27",141.45
"Stephen Kibet Chelal (M39)","STEPHEN KIBET CHELAL","STEPHEN KIBET CHELAL","Grandma's Marathon",2016,"2016-06-18","2:21:39",141.65
"Alan Peterson (M24)","ALAN PETERSON","ALAN PETERSON","Grandma's Marathon",2016,"2016-06-18","2:21:53",141.883333333333
"Benjamin Kiplimo Meto (M41)","BENJAMIN KIPLIMO METO","BENJAMIN KIPLIMO METO","Grandma's Marathon",2016,"2016-06-18","2:21:59",141.983333333333
"Scott MacPherson (M29)","SCOTT MACPHERSON","SCOTT MACPHERSON","Grandma's Marathon",2016,"2016-06-18","2:22:37",142.616666666667
"Michael Crouch (M28)","MICHAEL CROUCH","MICHAEL CROUCH","Grandma's Marathon",2016,"2016-06-18","2:26:40",146.666666666667
"Fernando Cabada (M34)","FERNANDO CABADA","FERNANDO CABADA","Grandma's Marathon",2016,"2016-06-18","2:27:09",147.15
"Elisha Barno (M28)","ELISHA BARNO","ELISHA BARNO","Grandma's Marathon",2017,"2017-06-17","2:12:06",132.1
"Macdonard Ondara (M28)","MACDONARD ONDARA","MACDONARD ONDARA","Grandma's Marathon",2017,"2017-06-17","2:14:40",134.666666666667
"Rodgers Gesabwa (M29)","RODGERS GESABWA","RODGERS GESABWA","Grandma's Marathon",2017,"2017-06-17","2:15:43",135.716666666667
"Jacob Chemtai (M30)","JACOB CHEMTAI","JACOB CHEMTAI","Grandma's Marathon",2017,"2017-06-17","2:17:00",137
"Jordan Chipangama (M28)","JORDAN CHIPANGAMA","JORDAN CHIPANGAMA","Grandma's Marathon",2017,"2017-06-17","2:18:37",138.616666666667
"Tyler Jermann (M24)","TYLER JERMANN","TYLER JERMANN","Grandma's Marathon",2017,"2017-06-17","2:19:07",139.116666666667
"Jonathan Mott (M30)","JONATHAN MOTT","JONATHAN MOTT","Grandma's Marathon",2017,"2017-06-17","2:19:53",139.883333333333
"Nelson Oyugi (M24)","NELSON OYUGI","NELSON OYUGI","Grandma's Marathon",2017,"2017-06-17","2:20:28",140.466666666667
"Harbert Okuti (M31)","HARBERT OKUTI","HARBERT OKUTI","Grandma's Marathon",2017,"2017-06-17","2:21:21",141.35
"Terence Attema (M27)","TERENCE ATTEMA","TERENCE ATTEMA","Grandma's Marathon",2017,"2017-06-17","2:22:38",142.633333333333
"Michael Eaton (M30)","MICHAEL EATON","MICHAEL EATON","Grandma's Marathon",2017,"2017-06-17","2:23:29",143.483333333333
"Matthew Fecht (M33)","MATTHEW FECHT","MATTHEW FECHT","Grandma's Marathon",2017,"2017-06-17","2:26:47",146.783333333333
"Adam Bohach (M32)","ADAM BOHACH","ADAM BOHACH","Grandma's Marathon",2017,"2017-06-17","2:27:24",147.4
"Matt Hensley (M29)","MATT HENSLEY","MATT HENSLEY","Grandma's Marathon",2017,"2017-06-17","2:28:27",148.45
"Elisha Barno (M32)","ELISHA BARNO","ELISHA BARNO","Grandma's Marathon",2018,"2018-06-16","2:10:06",130.1
"Birhanu Dare Kemal (M31)","BIRHANU DARE KEMAL","BIRHANU DARE KEMAL","Grandma's Marathon",2018,"2018-06-16","2:12:21",132.35
"Rodgers Gesabwa (M30)","RODGERS GESABWA","RODGERS GESABWA","Grandma's Marathon",2018,"2018-06-16","2:13:23",133.383333333333
"Teklu Deneke (M38)","TEKLU DENEKE","TEKLU DENEKE","Grandma's Marathon",2018,"2018-06-16","2:14:47",134.783333333333
"Tyler Jermann (M25)","TYLER JERMANN","TYLER JERMANN","Grandma's Marathon",2018,"2018-06-16","2:18:59",138.983333333333
"Joseph Moore (M34)","JOE MOORE","JOSEPH MOORE","Grandma's Marathon",2018,"2018-06-16","2:20:37",140.616666666667
"Jesse Davis (M36)","JESSE DAVIS","JESSE DAVIS","Grandma's Marathon",2018,"2018-06-16","2:21:36",141.6
"Fernando Cervantes (M27)","FERNANDO CERVANTES CAUDILLO","FERNANDO CERVANTES","Grandma's Marathon",2018,"2018-06-16","2:22:31",142.516666666667
"Brian Harvey (M31)","BRIAN HARVEY","BRIAN HARVEY","Grandma's Marathon",2018,"2018-06-16","2:22:40",142.666666666667
"Matthew Williams (M31)","MATTHEW WILLIAMS","MATTHEW WILLIAMS","Grandma's Marathon",2018,"2018-06-16","2:38:49",158.816666666667
"Harbert Okuti (M33)","HARBERT OKUTI","HARBERT OKUTI","Grandma's Marathon",2019,"2019-06-22","2:13:01",133.016666666667
"Austin Roth (M28)","AUSTIN ROTH","AUSTIN ROTH","Grandma's Marathon",2019,"2019-06-22","2:17:04",137.066666666667
"Eric Ashe (M30)","ERIC ASHE","ERIC ASHE","Grandma's Marathon",2019,"2019-06-22","2:17:24",137.4
"Sam Morse (M35)","SAM MORSE","SAM MORSE","Grandma's Marathon",2019,"2019-06-22","2:18:06",138.1
"Pardon Ndhlovu (M31)","PARDON NDHLOVU","PARDON NDHLOVU","Grandma's Marathon",2019,"2019-06-22","2:18:57",138.95
"Matt Hensley (M31)","MATT HENSLEY","MATT HENSLEY","Grandma's Marathon",2019,"2019-06-22","2:20:27",140.45
"Jesse Davis (M37)","JESSE DAVIS","JESSE DAVIS","Grandma's Marathon",2019,"2019-06-22","2:21:54",141.9
"Jason Simpson (M34)","JASON SIMPSON","JASON SIMPSON","Grandma's Marathon",2019,"2019-06-22","2:24:22",144.366666666667
"Ramiro Guillen (M37)","RAMIRO GUILLEN","RAMIRO GUILLEN","Grandma's Marathon",2019,"2019-06-22","2:24:36",144.6
"Elisha Barno (M33)","ELISHA BARNO","ELISHA BARNO","Grandma's Marathon",2019,"2019-06-22","2:31:17",151.283333333333
"Birhanu Gedefa (M30)","BIRHANU GEDEFA","BIRHANU GEDEFA","Houston Marathon",2015,"2015-01-18","2:08:03",128.05
"Gebo Burka (M27)","GEBO BURKA","GEBO BURKA","Houston Marathon",2015,"2015-01-18","2:08:12",128.2
"Debebe Tolossa (M34)","DEBEBE TOLOSSA","DEBEBE TOLOSSA","Houston Marathon",2015,"2015-01-18","2:09:07",129.116666666667
"Dominic Ondoro (M26)","DOMINIC ONDORO","DOMINIC ONDORO","Houston Marathon",2015,"2015-01-18","2:09:40",129.666666666667
"Silah Limo (M22)","SILAH LIMO","SILAH LIMO","Houston Marathon",2015,"2015-01-18","2:10:37",130.616666666667
"Erick Mose (M27)","ERICK MOSE","ERICK MOSE","Houston Marathon",2015,"2015-01-18","2:12:52",132.866666666667
"Aaron Braun (M27)","AARON BRAUN","AARON BRAUN","Houston Marathon",2015,"2015-01-18","2:12:54",132.9
"Gadisa Shumie (M22)","GADISA SHUMIE","GADISA SHUMIE","Houston Marathon",2015,"2015-01-18","2:14:03",134.05
"Craig Leon (M30)","CRAIG LEON","CRAIG LEON","Houston Marathon",2015,"2015-01-18","2:14:43",134.716666666667
"Pardon Ndhlovu (M27)","PARDON NDHLOVU","PARDON NDHLOVU","Houston Marathon",2015,"2015-01-18","2:16:52",136.866666666667
"Tony Migliozzi (M25)","TONY MIGLIOZZI","TONY MIGLIOZZI","Houston Marathon",2015,"2015-01-18","2:17:27",137.45
